playerId,firstName,lastName,proTeam,defaultPosition,jersey,weight,height,age,dateOfBirth,birthPlace,debutYear,draftSelection
4429795,Jahmyr,Gibbs,DET,RB,0,202,69,24,2002-03-20,"Dalton, GA",,12
4374302,Amon-Ra,St. Brown,DET,WR,14,202,72,26,1999-10-24,"Anaheim Hills, CA",,112
4430807,Bijan,Robinson,ATL,RB,7,215,71,24,2002-01-30,"Tucson, AZ",,8
4426515,Puka,Nacua,LAR,WR,12,216,74,25,2001-05-29,"Provo, UT",,177
4362628,Ja'Marr,Chase,CIN,WR,1,205,72,26,2000-03-01,"Harvey, LA",,5
4430878,Jaxon,Smith-Njigba,SEA,WR,11,197,72,24,2002-02-14,"Rockwall, TX",,20
3918298,Josh,Allen,BUF,QB,17,237,77,30,1996-05-21,"Firebaugh, CA",2018,7
3117251,Christian,McCaffrey,SF,RB,23,210,71,30,1996-06-07,"Castle Rock, CO",2017,8
4241389,CeeDee,Lamb,DAL,WR,88,198,74,27,1999-04-08,"Richmond, TX",2020,17
4242335,Jonathan,Taylor,IND,RB,28,226,70,27,1999-01-19,"Salem, NJ",2020,41
4262921,Justin,Jefferson,MIN,WR,18,195,73,27,1999-06-16,"Saint Rose, LA",2020,22
4379399,James,Cook III,BUF,RB,4,190,71,26,1999-09-25,"Miami, FL",,63
4361307,Trey,McBride,ARI,TE,85,246,76,26,1999-11-22,"Fort Morgan, CO",,55
4432665,Brock,Bowers,LV,TE,89,235,76,23,2002-12-13,"Napa, CA",,13
3929630,Saquon,Barkley,PHI,RB,26,233,72,29,1997-02-09,"Coplay, PA",2018,2
4429160,De'Von,Achane,MIA,RB,28,191,69,24,2001-10-13,"Missouri City, TX",,84
3043078,Derrick,Henry,BAL,RB,22,252,74,32,1994-01-04,"Yulee, FL",2016,45
3953687,Brandon,Aubrey,DAL,K,17,218,75,31,1995-03-14,,,
3916387,Lamar,Jackson,BAL,QB,8,205,74,29,1997-01-07,"Pompano Beach, FL",2018,32
4426502,Drake,London,ATL,WR,5,215,76,25,2001-07-24,"Moorpark, CA",,8
4047646,A.J.,Brown,NE,WR,1,226,73,29,1997-06-30,"Starkville, MS",2019,51
4426354,George,Pickens,DAL,WR,3,200,75,25,2001-03-04,"Hoover, AL",,52
4258173,Nico,Collins,HOU,WR,12,222,76,27,1999-03-19,"Birmingham, AL",,89
4890973,Ashton,Jeanty,LV,RB,2,208,68,22,2003-12-02,"Jacksonville, FL",,6
