category,statId,statAbbrev,statDesc,defaultPoints
Passing,3,PY,Every 1 passing yards,0.04
Passing,0,PA,Each Pass Attempted,0
Passing,1,PC,Every 1 completions,0
Passing,2,INC,Every 1 incomplete passes,0
Passing,4,PTD,TD Pass,4
Passing,15,PTD40,40+ yard TD pass bonus,0
Passing,16,PTD50,50+ yard TD pass bonus,0
Passing,20,INT,Interceptions Thrown,-2
Passing,19,2PC,2pt Passing Conversion,2
Passing,17,P300,300-399 yard passing game,0
Passing,18,P400,400+ yard passing game,0
Passing,64,SK,Sacked,0
Rushing,24,RY,Every 1 rushing yards,0.1
Rushing,23,RA,Every 1 rushing attempts,0
Rushing,25,RTD,TD Rush,6
Rushing,35,RTD40,40+ yard TD rush bonus,0
Rushing,36,RTD50,50+ yard TD rush bonus,0
Rushing,26,2PR,2pt Rushing Conversion,2
Rushing,37,RY100,100-199 yard rushing game,0
Rushing,38,RY200,200+ yard rushing game,0
Receiving,42,REY,Every 1 receiving yards,0.1
Receiving,53,REC,Every 1 receptions,1
Receiving,43,RETD,TD Reception,6
Receiving,45,RETD40,40+ yard TD rec bonus,0
Receiving,46,RETD50,50+ yard TD rec bonus,0
Receiving,44,2PRE,2pt Receiving Conversion,2
Receiving,56,REY100,100-199 yard receiving game,0
Receiving,57,REY200,200+ yard receiving game,0
Receiving,58,RET,Receiving Target,0
Kicking,86,PAT,Each PAT Made,1
Kicking,87,PATA,Each PAT Attempted,0
Kicking,88,PATM,Each PAT Missed,0
Kicking,83,FG,Total FG Made,0
Kicking,84,FGA,Total FG Attempted,0
Kicking,85,FGM,Total FG Missed,-1
Kicking,80,FG0,FG Made (0-39 yards),3
Kicking,77,FG40,FG Made (40-49 yards),4
Kicking,198,FG50,FG Made (50-59 yards),5
Kicking,201,FG60,FG Made (60+ yards),6
Kicking,81,FGA0,FG Attempted (0-39 yards),0
Kicking,78,FGA40,FG Attempted (40-49 yards),0
Kicking,199,FGA50,FG Attempted (50-59 yards),0
Kicking,202,FGA60,FG Attempted (60+ yards),0
Kicking,82,FGM0,FG Missed (0-39 yards),0
Kicking,79,FGM40,FG Missed (40-49 yards),0
Kicking,200,FGM50,FG Missed (50-59 yards),0
Kicking,203,FGM60,FG Missed (60+ yards),0
Team Defense / Special Teams,114,KR,Every 1 kickoff return yards,0
Team Defense / Special Teams,115,PR,Every 1 punt return yards,0
Team Defense / Special Teams,99,SK,Every 1 sacks,1
Team Defense / Special Teams,109,TK,Every 1 total tackles,0
Team Defense / Special Teams,103,INTTD,Interception Return TD,6
Team Defense / Special Teams,104,FRTD,Fumble Return TD,6
Team Defense / Special Teams,101,KRTD,Kickoff Return TD,6
Team Defense / Special Teams,102,PRTD,Punt Return TD,6
Team Defense / Special Teams,93,BLKKRTD,Blocked Punt or FG return for TD,6
Team Defense / Special Teams,97,BLKK,"Blocked Punt, PAT or FG",2
Team Defense / Special Teams,95,INT,Each Interception,2
